Время,Координата,Плотность,Сера,Давление
0,0,900,1.5e-05,6e+06
0,100,900,1.5e-05,5.55897e+06
0,200,900,1.5e-05,5.11794e+06
0,300,900,1.5e-05,4.6769e+06
0,400,900,1.5e-05,4.23587e+06
0,500,900,1.5e-05,3.79484e+06
200.101,0,880.478,1.30478e-05,5.80478e+06
200.101,100,900,1.5e-05,5.3733e+06
200.101,200,900,1.5e-05,4.93227e+06
200.101,300,900,1.5e-05,4.49124e+06
200.101,400,900,1.5e-05,4.05021e+06
200.101,500,900,1.5e-05,3.60917e+06
392.701,0,880,1.3e-05,5.8e+06
392.701,100,880.478,1.30478e-05,5.36876e+06
392.701,200,900,1.5e-05,4.93728e+06
392.701,300,900,1.5e-05,4.49625e+06
392.701,400,900,1.5e-05,4.05521e+06
392.701,500,900,1.5e-05,3.61418e+06
585.571,0,888.89,1.3889e-05,5.8889e+06
585.571,100,880,1.3e-05,5.45331e+06
585.571,200,880.478,1.30478e-05,5.02206e+06
585.571,300,900,1.5e-05,4.59058e+06
585.571,400,900,1.5e-05,4.14955e+06
585.571,500,900,1.5e-05,3.70852e+06
778.431,0,717.516,1.16209e-05,5.9e+06
778.431,100,888.89,1.3889e-05,5.54837e+06
778.431,200,880,1.3e-05,5.11278e+06
778.431,300,880.478,1.30478e-05,4.68153e+06
778.431,400,900,1.5e-05,4.25005e+06
778.431,500,900,1.5e-05,3.80902e+06
971.292,0,849.523,1.26735e-05,5.81088e+06
971.292,100,717.516,1.16209e-05,5.39457e+06
971.292,200,888.89,1.3889e-05,5.04295e+06
971.292,300,880,1.3e-05,4.60735e+06
971.292,400,880.478,1.30478e-05,4.17611e+06
971.292,500,900,1.5e-05,3.74463e+06
1164.15,0,880,1.3e-05,5.8e+06
1164.15,100,849.523,1.26735e-05,5.36876e+06
1164.15,200,717.516,1.16209e-05,4.95244e+06
1164.15,300,888.89,1.3889e-05,4.60082e+06
1164.15,400,880,1.3e-05,4.16522e+06
1164.15,500,880.478,1.30478e-05,3.73398e+06
1357.01,0,0,0,5.8e+06
1357.01,100,880,1.3e-05,5.8e+06
1357.01,200,849.523,1.26735e-05,5.36876e+06
1357.01,300,717.516,1.16209e-05,4.95244e+06
1357.01,400,888.89,1.3889e-05,4.60082e+06
1357.01,500,880,1.3e-05,4.16522e+06
1540.27,0,0,0,5.8e+06
1540.27,100,0,0,5.8e+06
1540.27,200,880,1.3e-05,5.8e+06
1540.27,300,849.523,1.26735e-05,5.36876e+06
1540.27,400,717.516,1.16209e-05,4.95244e+06
1540.27,500,888.89,1.3889e-05,4.60082e+06
1723.53,0,0,0,5.8e+06
1723.53,100,0,0,5.8e+06
1723.53,200,0,0,5.8e+06
1723.53,300,880,1.3e-05,5.8e+06
1723.53,400,849.523,1.26735e-05,5.36876e+06
1723.53,500,717.516,1.16209e-05,4.95244e+06
1906.79,0,0,0,5.8e+06
1906.79,100,0,0,5.8e+06
1906.79,200,0,0,5.8e+06
1906.79,300,0,0,5.8e+06
1906.79,400,880,1.3e-05,5.8e+06
1906.79,500,849.523,1.26735e-05,5.36876e+06
2090.05,0,0,0,5.8e+06
2090.05,100,0,0,5.8e+06
2090.05,200,0,0,5.8e+06
2090.05,300,0,0,5.8e+06
2090.05,400,0,0,5.8e+06
2090.05,500,880,1.3e-05,5.8e+06
2273.31,0,0,0,5.8e+06
2273.31,100,0,0,5.8e+06
2273.31,200,0,0,5.8e+06
2273.31,300,0,0,5.8e+06
2273.31,400,0,0,5.8e+06
2273.31,500,0,0,5.8e+06
2456.57,0,0,0,5.8e+06
2456.57,100,0,0,5.8e+06
2456.57,200,0,0,5.8e+06
2456.57,300,0,0,5.8e+06
2456.57,400,0,0,5.8e+06
2456.57,500,0,0,5.8e+06
2639.83,0,0,0,5.8e+06
2639.83,100,0,0,5.8e+06
2639.83,200,0,0,5.8e+06
2639.83,300,0,0,5.8e+06
2639.83,400,0,0,5.8e+06
2639.83,500,0,0,5.8e+06
2823.09,0,0,0,5.8e+06
2823.09,100,0,0,5.8e+06
2823.09,200,0,0,5.8e+06
2823.09,300,0,0,5.8e+06
2823.09,400,0,0,5.8e+06
2823.09,500,0,0,5.8e+06
3006.35,0,0,0,5.8e+06
3006.35,100,0,0,5.8e+06
3006.35,200,0,0,5.8e+06
3006.35,300,0,0,5.8e+06
3006.35,400,0,0,5.8e+06
3006.35,500,0,0,5.8e+06
3189.61,0,0,0,5.8e+06
3189.61,100,0,0,5.8e+06
3189.61,200,0,0,5.8e+06
3189.61,300,0,0,5.8e+06
3189.61,400,0,0,5.8e+06
3189.61,500,0,0,5.8e+06
3372.87,0,0,0,5.8e+06
3372.87,100,0,0,5.8e+06
3372.87,200,0,0,5.8e+06
3372.87,300,0,0,5.8e+06
3372.87,400,0,0,5.8e+06
3372.87,500,0,0,5.8e+06
3556.13,0,0,0,5.8e+06
3556.13,100,0,0,5.8e+06
3556.13,200,0,0,5.8e+06
3556.13,300,0,0,5.8e+06
3556.13,400,0,0,5.8e+06
3556.13,500,0,0,5.8e+06
3739.39,0,0,0,5.8e+06
3739.39,100,0,0,5.8e+06
3739.39,200,0,0,5.8e+06
3739.39,300,0,0,5.8e+06
3739.39,400,0,0,5.8e+06
3739.39,500,0,0,5.8e+06
3922.65,0,0,0,5.8e+06
3922.65,100,0,0,5.8e+06
3922.65,200,0,0,5.8e+06
3922.65,300,0,0,5.8e+06
3922.65,400,0,0,5.8e+06
3922.65,500,0,0,5.8e+06
