Время,Координата,Плотность,Сера,Давление
0,0,900,1.5e-05,6e+06
0,1000,900,1.5e-05,6.0086e+06
0,2000,900,1.5e-05,6.01719e+06
0,3000,900,1.5e-05,6.02579e+06
0,4000,900,1.5e-05,6.03438e+06
0,5000,900,1.5e-05,6.04298e+06
0,6000,900,1.5e-05,6.05157e+06
0,7000,900,1.5e-05,6.06017e+06
0,8000,900,1.5e-05,6.06876e+06
0,9000,900,1.5e-05,6.07736e+06
0,10000,900,1.5e-05,6.08596e+06
0,11000,900,1.5e-05,6.09455e+06
0,12000,900,1.5e-05,6.10315e+06
0,13000,900,1.5e-05,6.11174e+06
0,14000,900,1.5e-05,6.12034e+06
0,15000,900,1.5e-05,6.12893e+06
0,16000,900,1.5e-05,6.13753e+06
0,17000,900,1.5e-05,6.14612e+06
0,18000,900,1.5e-05,6.15472e+06
0,19000,900,1.5e-05,6.16332e+06
0,20000,900,1.5e-05,6.17191e+06
0,21000,900,1.5e-05,6.18051e+06
0,22000,900,1.5e-05,6.1891e+06
0,23000,900,1.5e-05,6.1977e+06
0,24000,900,1.5e-05,6.20629e+06
0,25000,900,1.5e-05,6.21489e+06
0,26000,900,1.5e-05,6.22348e+06
0,27000,900,1.5e-05,6.23208e+06
0,28000,900,1.5e-05,6.24067e+06
0,29000,900,1.5e-05,6.24927e+06
0,30000,900,1.5e-05,6.25787e+06
0,31000,900,1.5e-05,6.26646e+06
0,32000,900,1.5e-05,6.27506e+06
0,33000,900,1.5e-05,6.28365e+06
0,34000,900,1.5e-05,6.29225e+06
0,35000,900,1.5e-05,6.30084e+06
0,36000,900,1.5e-05,6.30944e+06
0,37000,900,1.5e-05,6.31803e+06
0,38000,900,1.5e-05,6.32663e+06
0,39000,900,1.5e-05,6.33523e+06
0,40000,900,1.5e-05,6.34382e+06
0,41000,900,1.5e-05,6.35242e+06
0,42000,900,1.5e-05,6.36101e+06
0,43000,900,1.5e-05,6.36961e+06
0,44000,900,1.5e-05,6.3782e+06
0,45000,900,1.5e-05,6.3868e+06
0,46000,900,1.5e-05,6.39539e+06
0,47000,900,1.5e-05,6.40399e+06
0,48000,900,1.5e-05,6.41259e+06
0,49000,900,1.5e-05,6.42118e+06
